,ArtistName,YearBorn,YearDied,Age,Born,Died,ArtistOccupation,ArtistWikiLink,Nationality,Education,Known for,Spouse(s),Notable work,Awards,Movement,Native name,Resting place,Pen name,Occupation,Language,Period,Literary movement,Notable works,Notable awards,Spouse,Children,Relatives,Signature,Other names,Alma mater,Website,Parent(s),Style,Honours,Partner(s),Years active,Constituency,Political party,Citizenship,Organization,Patron(s),Genre,Age_Cleaned,Is_Dead,Is_Indian,Award_Group,Occupation_Grouped
48,Kailash Chandra Meher,1954,,0," (1954-01-22) 22 January 1954 (age 67)Sonepur, Odisha, India",, painter,https://en.wikipedia.org/wiki/Kailash_Chandra_Meher,,Degree (Art),,Laxmi Meher,,,,,,,Artist,,,,,,,"Prakash Meher, Manisha Meher & Jayanta Meher",Sadhu Meher (Uncle)[1],,,Visva-Bharati University,,,,,,,,,Indian,,,,67,Alive,Other/Mixed,Other, painter
49,Kanu Desai,1907,1980,73,,,,https://en.wikipedia.org/wiki/Kanu_Desai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Dead,Other/Mixed,Other,0
50,Karuna Sukka,1980,,0," (1980-11-20) November 20, 1980 (age 40)",, printmaker,https://en.wikipedia.org/wiki/Karuna_Sukka,Indian,"
2005-2007-  M.A (Fine) Museology, The M S University of Baroda, Vadodara.
2003-2005-  M.F.A Printmaking, University of Hyderabad, Hyderabad.
1999-2003-  B.F.A Painting, P.S.T University, Hyderabad.
",Printmaking and Painting,Sunder Sukka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Alive,India,Other,Printmaking and Painting
51,Kurchi Dasgupta,1974,,0,"Kurchi Dasgupta1974Kolkata, West Bengal, India",,,https://en.wikipedia.org/wiki/Kurchi_Dasgupta,Indian,,"Visual Art, Art Criticism, Translation, Acting",,,"University Gold Medal, Jadavpur University (1998)","Oil Painting, Conceptual Art, Performance, Miniature",,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Alive,India,Other,"Visual Art, Art Criticism, Translation, Acting"
52,M R D Dattan,1935,2006,71,,,,https://en.wikipedia.org/wiki/M_R_D_Dattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,Dead,Other/Mixed,Other,0
53,M.F. Husain,1915,2011,96,"Maqbool Fida Husain(1915-09-17)17 September 1915Pandharpur, Bombay Presidency, British India","9 June 2011(2011-06-09) (aged 95)London, England, UK",,https://en.wikipedia.org/wiki/M.F._Husain,Indian (1915—2010)[1] Qatari (2010—2011)[1],Sir J. J. School of Art,Painting,,Meenaxi: A Tale of Three CitiesThrough the Eyes of a Painter,Padma Bhushan (1973)Padma Vibhushan (1991),Bombay Progressive Artists' Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,Dead,Other/Mixed,Padma Recipient,Painting
54,Madhan (writer),1947,,0," (1947-07-11) 11 July 1947 (age 74)Srirangam, Tamil Nadu",,,https://en.wikipedia.org/wiki/Madhan_(writer),India,,,,,,,,,,"Cartoonist, writer",,,,,,,,,,,,,,,,,,,,,,,,74,Alive,Other/Mixed,Other,"Cartoonist, writer"
55,Madhuri Bhaduri,1958,,0,,,,https://en.wikipedia.org/wiki/Madhuri_Bhaduri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,Alive,Other/Mixed,Other,0
56,Manav Gupta,1967,,0," (1967-12-29) 29 December 1967 (age 53)Kolkata, India",,,https://en.wikipedia.org/wiki/Manav_Gupta,Indian,Academy of Fine Arts,"Conceptual art, installation art, Painting,[1] Murals,[2]   Performance[3] Short Films,[4]  Sculptures, Poetry",,"
Five floor(10,000 sqft)Tree of Life mural,[5] at Airtel campus[6] (2010)
Indo Bhutan Friendship Mural(2011)
One-minute Films as public service messages for Ministry of Environment, Govt. of India (2006)[7]
",First Painter to get the Sanatan Sangeet Sanskriti by French Ambassador (2006),"Performance Art Jugalbandi,[8]Collaborative Public Art",,,,,,,,,,,,,,,,,,,,,,,,,,,,54,Alive,India,Other,"Conceptual art, installation art, Painting,[1] Murals,[2]   Performance[3] Short Films,[4]  Sculptures, Poetry"
57,Manjit Bawa,1941,2008,67,"1941 (1941)Dhuri, Punjab, India",29 December 2008(2008-12-29) (aged 66–67)Delhi,,https://en.wikipedia.org/wiki/Manjit_Bawa,,,painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,Dead,Other/Mixed,Other,painting
